"No","Yes","MeanDecreaseAccuracy","MeanDecreaseGini","Feature"
28.5003233464981,-4.32565928406952,25.6138232173128,5518.53920189971,"BMI"
26.2956909965189,40.4568276230315,60.2118031620548,3141.28014336817,"AgeCategory"
6.18856863194794,2.97577983207611,6.87036424445954,2351.22695650866,"SleepTime"
28.6506909580105,8.34951308348753,34.1227758611284,1945.24480912413,"PhysicalHealth"
17.5952981194128,67.2462922974138,42.6944553839146,1880.57095559704,"GenHealth"
39.3040030882633,-17.2170179786849,31.503053541726,1671.66661751,"MentalHealth"
14.2086914580077,2.00200652041899,14.1221745688145,1068.43145346049,"Race"
24.3214147683087,96.2463211281433,60.5873366323236,905.149507792067,"Stroke"
-6.73933024972494,43.74242544355,12.4267116767684,855.965805318762,"Diabetic"
14.5504172740924,16.7660465389404,21.0588305038965,713.297234440968,"DiffWalking"
10.5344892218752,-1.23268099773593,9.64753548985751,612.577744472351,"PhysicalActivity"
40.7892021172827,24.6365720215437,48.7563813361322,602.975074746343,"Sex"
4.97147771629429,9.2370952006496,8.6668673529622,524.380223045407,"Asthma"
-15.7582826200047,23.3444685966618,-4.21203203262378,489.006946945246,"Smoking"
-19.9461224918357,52.0417528913375,10.4225188830807,434.303034941039,"KidneyDisease"
4.34243080851743,12.3737369414923,8.14282730581928,428.082606049086,"SkinCancer"
8.8121106608133,-1.64217445800625,7.65208490513534,253.106512841819,"AlcoholDrinking"
